substitution_id,source_character,replacement_character,substitution_family,operation,visual_similarity_score,ocr_real_rate,ocr_wrong_rate,bucket,source_identity_margin,sampled_contexts,clean_eligible_contexts,character_attack_contexts,ocr_attack_contexts,ocr_attack_rate,legit_positive_contexts,legit_positive_rate,legit_min,legit_q25,legit_median,legit_mean,legit_max,meets_min_support,proxy_rank,example_original_text,example_substituted_text,example_official_legit_score,source_rank,review_label,review_state,reviewed_at,keep_threshold
5,0,ŋ,ocr_confusable,single_homoglyph,0.7244488596916199,0.0,1.0,safe_hard,0.05275881290435791,16,8,8,2,0.25,2,1.0,1.0010541677474976,1.1842103600502014,1.3673665523529053,1.3673665523529053,1.733678936958313,True,84,,,,1,keep,manual,2026-06-23T18:33:16.688888+00:00,0.16556453704833984
28,0,ꓵ,ocr_confusable,single_homoglyph,0.5914403200149536,0.0,1.0,safe_hard,0.0278891921043396,16,5,5,3,0.6,2,0.6666666666666666,-1.9400815963745117,0.16556453704833984,2.2712106704711914,0.8692773183186849,2.276702880859375,True,118,,,,2,discard,manual,2026-06-23T18:33:22.405893+00:00,0.16556453704833984
38,1,Ƭ,ocr_confusable,single_homoglyph,0.5804832577705383,0.0,1.0,safe_hard,0.0966654121875763,16,6,6,6,1.0,6,1.0,0.566530168056488,0.667680025100708,1.1490042209625244,1.3205157816410065,2.7548465728759766,True,100,,,,1,keep,manual,2026-06-23T18:33:45.739094+00:00,0.16556453704833984
48,2,Σ,ocr_confusable,single_homoglyph,0.6206383109092712,0.0,1.0,safe_hard,0.10152459144592285,16,9,9,4,0.4444444444444444,3,0.75,-0.6671980023384094,1.984747514128685,3.066235303878784,2.265874966979027,3.5982272624969482,True,50,,,,1,discard,manual,2026-06-23T18:34:06.888714+00:00,0.16556453704833984
50,2,ż,ocr_confusable,single_homoglyph,0.6168277859687805,0.0,1.0,safe_hard,0.16891807317733765,16,7,7,3,0.42857142857142855,2,0.6666666666666666,-1.352477788925171,0.7977861166000366,2.948050022125244,1.7131846745808919,3.5439817905426025,True,96,,,,2,discard,manual,2026-06-23T18:34:05.329323+00:00,0.16556453704833984
54,3,Ɔ,ocr_confusable,single_homoglyph,0.6605665683746338,0.0,1.0,safe_hard,0.10970014333724976,16,4,4,4,1.0,4,1.0,1.0766081809997559,1.0766081809997559,1.4513311982154846,1.6538896262645721,2.6362879276275635,True,88,,,,1,discard,manual,2026-06-23T18:34:21.266983+00:00,0.16556453704833984
60,3,Ꜿ,ocr_confusable,single_homoglyph,0.6081991791725159,0.0,1.0,safe_hard,0.042358338832855225,16,5,5,2,0.4,2,1.0,0.03534293174743652,0.5461000204086304,1.0568571090698242,1.0568571090698242,2.078371286392212,True,104,,,,2,discard,manual,2026-06-23T18:34:22.539839+00:00,0.16556453704833984
70,4,Ⅱ,ocr_confusable,single_homoglyph,0.6066344380378723,0.0,1.0,safe_hard,0.1898171603679657,16,5,5,5,1.0,4,0.8,-1.3964908123016357,2.4559288024902344,2.4559288024902344,1.8089754104614257,2.879469871520996,True,24,,,,1,discard,manual,2026-06-23T18:34:26.065167+00:00,0.16556453704833984
76,5,ʂ,ocr_confusable,single_homoglyph,0.6097654700279236,0.0,1.0,safe_hard,0.11010530591011047,16,11,11,3,0.2727272727272727,3,1.0,0.23551714420318604,0.3257228434085846,0.41592854261398315,0.449258287747701,0.6963291764259338,True,112,,,,1,discard,manual,2026-06-23T18:34:34.037460+00:00,0.16556453704833984
80,6,Ε,ocr_confusable,single_homoglyph,0.6694785356521606,0.0,1.0,safe_hard,0.049118995666503906,16,6,6,6,1.0,6,1.0,0.24958536028862,0.8623324036598206,1.1012897789478302,1.1902890553077061,2.4312527179718018,True,94,,,,1,discard,manual,2026-06-23T18:34:37.690372+00:00,0.16556453704833984
88,6,Є,ocr_confusable,single_homoglyph,0.632348358631134,0.0,1.0,safe_hard,0.05254483222961426,16,8,8,8,1.0,8,1.0,0.20453175902366638,0.7036918252706528,0.8107426166534424,0.8088801093399525,1.3328133821487427,True,98,,,,2,discard,manual,2026-06-23T18:34:39.764259+00:00,0.16556453704833984
125,8,,ocr_confusable,single_homoglyph,0.5908493995666504,0.0,1.0,safe_hard,0.0017421841621398926,16,9,9,2,0.2222222222222222,2,1.0,1.547065258026123,1.6520143747329712,1.7569634914398193,1.7569634914398193,1.9668617248535156,True,59,,,,1,discard,manual,2026-06-23T18:34:50.110807+00:00,0.16556453704833984
136,a,ǝ,ocr_confusable,single_homoglyph,0.8225683569908142,0.0,1.0,safe_hard,0.037408530712127686,16,7,7,3,0.42857142857142855,3,1.0,3.5390820503234863,3.9359090328216553,4.332736015319824,4.157726923624675,4.601362705230713,True,2,,,,1,keep,manual,2026-06-23T18:34:54.772118+00:00,0.16556453704833984
140,a,π,ocr_confusable,single_homoglyph,0.6368243098258972,0.0,1.0,safe_hard,0.04978787899017334,16,2,2,2,1.0,2,1.0,2.3793632984161377,2.454176664352417,2.5289900302886963,2.5289900302886963,2.678616762161255,True,25,,,,2,discard,manual,2026-06-23T18:34:57.996634+00:00,0.16556453704833984
155,b,ȯ,ocr_confusable,single_homoglyph,0.6859208345413208,0.0,1.0,safe_hard,0.017035305500030518,16,3,3,2,0.6666666666666666,2,1.0,3.6785717010498047,3.8402000665664673,4.00182843208313,4.00182843208313,4.325085163116455,True,4,,,,1,discard,manual,2026-06-23T18:35:07.525331+00:00,0.16556453704833984
172,b,ﬁ,ocr_confusable,single_homoglyph,0.6556484699249268,0.0,1.0,safe_hard,0.008047401905059814,16,5,5,5,1.0,5,1.0,0.36158210039138794,2.1399595737457275,2.621180295944214,2.2586846470832826,3.447183847427368,True,42,,,,2,discard,manual,2026-06-23T18:35:09.070922+00:00,0.16556453704833984
186,c,ᴦ,ocr_confusable,single_homoglyph,0.6099834442138672,0.0,1.0,safe_hard,0.18553364276885986,16,4,4,2,0.5,2,1.0,3.7459068298339844,3.857075333595276,3.9682438373565674,3.9682438373565674,4.19058084487915,True,3,,,,1,discard,manual,2026-06-23T18:35:14.629524+00:00,0.16556453704833984
185,c,ᴌ,ocr_confusable,single_homoglyph,0.6308404207229614,0.0,1.0,safe_hard,0.19906163215637207,16,6,6,3,0.5,3,1.0,1.4302846193313599,2.1324462294578552,2.8346078395843506,2.540171504020691,3.3556220531463623,True,43,,,,2,discard,manual,2026-06-23T18:35:15.743409+00:00,0.16556453704833984
200,d,ė,ocr_confusable,single_homoglyph,0.6143762469291687,0.0,1.0,safe_hard,0.0034200549125671387,16,6,6,6,1.0,6,1.0,2.0261058807373047,3.4035430550575256,3.579522490501404,3.3904862801233926,3.946760892868042,True,8,,,,1,discard,manual,2026-06-23T18:35:21.005275+00:00,0.16556453704833984
199,d,á,ocr_confusable,single_homoglyph,0.615165650844574,0.0,1.0,safe_hard,0.08545047044754028,16,4,4,4,1.0,4,1.0,1.729275107383728,2.348371058702469,2.947680711746216,2.8636999428272247,3.8301632404327393,True,31,,,,2,discard,manual,2026-06-23T18:35:22.554753+00:00,0.16556453704833984
221,f,╻,ocr_confusable,single_homoglyph,0.6297110915184021,0.0,1.0,safe_hard,0.06492060422897339,16,6,6,3,0.5,3,1.0,1.843038558959961,2.0851874351501465,2.327336311340332,2.2974096139272056,2.7218539714813232,True,47,,,,1,discard,manual,2026-06-23T18:35:27.910103+00:00,0.16556453704833984
224,f,ἶ,ocr_confusable,single_homoglyph,0.5827571153640747,0.0,1.0,safe_hard,0.16231483221054077,16,6,6,3,0.5,3,1.0,1.6159950494766235,1.947441041469574,2.2788870334625244,2.485338886578878,3.5611345767974854,True,51,,,,2,discard,manual,2026-06-23T18:35:29.134060+00:00,0.16556453704833984
230,g,ᐁ,ocr_confusable,single_homoglyph,0.5562578439712524,0.0,1.0,safe_hard,0.01696556806564331,16,3,3,3,1.0,3,1.0,2.3283698558807373,2.3577024936676025,2.3870351314544678,2.7514642079671225,3.538987636566162,True,29,,,,1,discard,manual,2026-06-23T18:35:33.210653+00:00,0.16556453704833984
228,g,ჵ,ocr_confusable,single_homoglyph,0.559380054473877,0.0,1.0,safe_hard,0.022111177444458008,16,5,5,3,0.6,3,1.0,1.7031621932983398,1.8684477806091309,2.033733367919922,2.156040906906128,2.731227159500122,True,52,,,,2,discard,manual,2026-06-23T18:35:35.541921+00:00,0.16556453704833984
233,h,,ocr_confusable,single_homoglyph,0.6586260795593262,0.0,1.0,safe_hard,0.004230797290802002,16,5,5,3,0.6,3,1.0,2.432765245437622,2.7483346462249756,3.063904047012329,2.8762144247690835,3.1319739818573,True,16,,,,1,discard,manual,2026-06-23T18:35:43.508221+00:00,0.16556453704833984
241,h,𞹭,ocr_confusable,single_homoglyph,0.5925054550170898,0.0,1.0,safe_hard,0.02001708745956421,16,7,7,3,0.42857142857142855,3,1.0,1.866084337234497,2.464378833770752,3.062673330307007,2.730146884918213,3.2616829872131348,True,22,,,,2,discard,manual,2026-06-23T18:35:45.241874+00:00,0.16556453704833984
251,j,|,ocr_confusable,single_homoglyph,0.777765691280365,0.0,1.0,safe_hard,0.09247612953186035,16,5,5,2,0.4,2,1.0,2.041715145111084,2.1054856181144714,2.169256091117859,2.169256091117859,2.296797037124634,True,45,,,,1,discard,manual,2026-06-23T18:35:53.865677+00:00,0.16556453704833984
255,j,ǀ,ocr_confusable,single_homoglyph,0.734309732913971,0.0,1.0,safe_hard,0.11400002241134644,16,4,4,2,0.5,2,1.0,1.5307860374450684,1.6738830208778381,1.816980004310608,1.816980004310608,2.1031739711761475,True,57,,,,2,discard,manual,2026-06-23T18:35:55.019059+00:00,0.16556453704833984
259,k,ẍ,ocr_confusable,single_homoglyph,0.5924497842788696,0.0,1.0,safe_hard,0.022670328617095947,16,5,5,3,0.6,3,1.0,2.6871235370635986,2.947854995727539,3.2085864543914795,3.462372620900472,4.491407871246338,True,13,,,,1,discard,manual,2026-06-23T18:36:01.853659+00:00,0.16556453704833984
262,k,߂,ocr_confusable,single_homoglyph,0.5714762806892395,0.0,1.0,safe_hard,0.07934626936912537,16,4,4,3,0.75,3,1.0,1.5139342546463013,2.227840006351471,2.9417457580566406,2.7705341577529907,3.8559224605560303,True,38,,,,2,discard,manual,2026-06-23T18:36:03.384456+00:00,0.16556453704833984
295,l,ߙ,ocr_confusable,single_homoglyph,0.653887927532196,0.0,1.0,safe_hard,0.043894827365875244,16,4,4,4,1.0,4,1.0,3.911257743835449,4.233971834182739,4.467418909072876,4.373322248458862,4.647193431854248,True,1,,,,1,keep,manual,2026-06-23T18:36:18.264118+00:00,0.16556453704833984
294,l,ɪ,ocr_confusable,single_homoglyph,0.6584907174110413,0.0,1.0,safe_hard,0.11786103248596191,16,5,5,2,0.4,2,1.0,3.03684139251709,3.1867920756340027,3.3367427587509155,3.3367427587509155,3.636644124984741,True,12,,,,2,keep,manual,2026-06-23T18:36:20.348850+00:00,0.16556453704833984
316,n,п,ocr_confusable,single_homoglyph,0.8452087044715881,0.0,1.0,safe_hard,0.11717939376831055,16,7,7,2,0.2857142857142857,2,1.0,2.962097644805908,3.3348801136016846,3.707662582397461,3.707662582397461,4.453227519989014,True,9,,,,1,keep,auto,,0.16556453704833984
322,n,ύ,ocr_confusable,single_homoglyph,0.5537130832672119,0.0,1.0,safe_hard,0.02303236722946167,16,8,8,8,1.0,8,1.0,1.3587393760681152,1.857070416212082,2.1908634901046753,2.179422006011009,2.9807980060577393,True,53,,,,2,discard,manual,2026-06-23T18:36:28.101050+00:00,0.16556453704833984
341,o,ῥ,ocr_confusable,single_homoglyph,0.5522434115409851,0.0,1.0,safe_hard,0.026362359523773193,16,4,4,2,0.5,2,1.0,2.5200541019439697,2.543649435043335,2.5672447681427,2.5672447681427,2.6144354343414307,True,19,,,,1,discard,manual,2026-06-23T18:36:34.969834+00:00,0.16556453704833984
336,o,ḅ,ocr_confusable,single_homoglyph,0.5835978984832764,0.0,1.0,safe_hard,0.01960015296936035,16,4,4,2,0.5,2,1.0,1.8760868310928345,2.4295054376125336,2.9829240441322327,2.9829240441322327,4.089761257171631,True,26,,,,2,discard,manual,2026-06-23T18:36:36.725392+00:00,0.16556453704833984
346,p,ǫ,ocr_confusable,single_homoglyph,0.6995688080787659,0.0,1.0,safe_hard,0.01644212007522583,16,7,7,2,0.2857142857142857,2,1.0,2.1466305255889893,2.233914017677307,2.321197509765625,2.321197509765625,2.4957644939422607,True,36,,,,1,discard,manual,2026-06-23T18:36:41.684816+00:00,0.16556453704833984
368,q,Ҹ,ocr_confusable,single_homoglyph,0.5552148818969727,0.0,1.0,safe_hard,0.05787283182144165,16,2,2,2,1.0,2,1.0,3.3032634258270264,3.3032634258270264,3.3032634258270264,3.3032634258270264,3.3032634258270264,True,10,,,,1,discard,manual,2026-06-23T18:36:50.949790+00:00,0.16556453704833984
375,s,ᴘ,ocr_confusable,single_homoglyph,0.5531765818595886,0.0,1.0,safe_hard,0.023935556411743164,16,2,2,2,1.0,2,1.0,2.68025803565979,2.783259093761444,2.886260151863098,2.886260151863098,3.0922622680664062,True,14,,,,1,discard,manual,2026-06-23T18:36:54.919413+00:00,0.16556453704833984
381,t,ᒶ,ocr_confusable,single_homoglyph,0.5501998662948608,0.0,1.0,safe_hard,0.02528756856918335,16,5,5,2,0.4,1,0.5,-1.0732954740524292,0.20944008231163025,1.4921756386756897,1.4921756386756897,4.057646751403809,True,117,,,,1,discard,manual,2026-06-23T18:37:00.025497+00:00,0.16556453704833984
383,u,н,ocr_confusable,single_homoglyph,0.7280293107032776,0.0,1.0,safe_hard,0.008383214473724365,16,2,2,2,1.0,2,1.0,3.641641616821289,3.642104148864746,3.642566680908203,3.642566680908203,3.643491744995117,True,5,,,,1,discard,manual,2026-06-23T18:37:04.644896+00:00,0.16556453704833984
389,u,и,ocr_confusable,single_homoglyph,0.6154077649116516,0.0,1.0,safe_hard,0.008211255073547363,16,4,4,2,0.5,2,1.0,2.248682975769043,2.7819167375564575,3.315150499343872,3.315150499343872,4.381618022918701,True,15,,,,2,discard,manual,2026-06-23T18:37:05.936336+00:00,0.16556453704833984
395,v,ẏ,ocr_confusable,single_homoglyph,0.6135655045509338,0.0,1.0,safe_hard,0.18511027097702026,16,3,3,3,1.0,3,1.0,3.282963991165161,3.6331770420074463,3.9833900928497314,3.760205109914144,4.014261245727539,True,6,,,,1,discard,manual,2026-06-23T18:37:12.352473+00:00,0.16556453704833984
400,v,ⱴ,ocr_confusable,single_homoglyph,0.5539165139198303,0.0,1.0,safe_hard,0.03346949815750122,16,4,4,2,0.5,2,1.0,3.203477144241333,3.426345646381378,3.6492141485214233,3.6492141485214233,4.094951152801514,True,7,,,,2,keep,auto,,0.16556453704833984
407,z,ᴇ,ocr_confusable,single_homoglyph,0.6434701085090637,0.0,1.0,safe_hard,0.0066571831703186035,16,7,7,4,0.5714285714285714,4,1.0,2.1716461181640625,2.402398705482483,2.5995136499404907,2.7589935064315796,3.6653006076812744,True,27,,,,1,discard,manual,2026-06-23T18:37:17.459231+00:00,0.16556453704833984
